ID,Display name,Ox,Oy
49042,3,545964.9,165734.9
48942,3,537082.8,167897.7
48690,3,541279.6,171405.5
48532,3,538996.6,165463.5
48503,3,547319.1,165798.1
48322,3,544287.7,171341.7
48316,3,537483.1,168351.4
48233,3,541344.7,168056.7
48093,3,545172.6,165889.4
47987,3,540057.7,170125.8
47943,3,537935.2,165138.6
47571,3,539630.1,166427.1
47491,3,546838.9,164349.1
47456,3,544842.3,165967.1
47254,3,546815.3,164809.6
47247,3,538722.6,165441.8
47213,3,547966.5,166629.6
47173,3,537224.2,168076.0
47136,3,539706.5,165019.5
47135,3,539741.5,165007.0
47038,3,536140.7,167822.1
47003,3,538819.5,167822.4
46999,3,537329.4,168768.5
46951,3,546213.1,165044.8
46730,3,540735.9,166303.1
